id,Geographic Area Name,Estimate!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars)
1400000US53033028600,"Census Tract 286, King County, Washington",84964,117283
1400000US53033028700,"Census Tract 287, King County, Washington",85598,100236
1400000US53033028801,"Census Tract 288.01, King County, Washington",63692,91427
1400000US53033028802,"Census Tract 288.02, King County, Washington",54879,73976
1400000US53033028901,"Census Tract 289.01, King County, Washington",72513,91875
1400000US53033028902,"Census Tract 289.02, King County, Washington",51048,71121
1400000US53033029001,"Census Tract 290.01, King County, Washington",72835,89775
1400000US53033029003,"Census Tract 290.03, King County, Washington",51507,80660
1400000US53033029004,"Census Tract 290.04, King County, Washington",38295,58973
1400000US53033029101,"Census Tract 291.01, King County, Washington",81143,96707
1400000US53033029102,"Census Tract 291.02, King County, Washington",92782,104244
1400000US53033029203,"Census Tract 292.03, King County, Washington",39835,50375
1400000US53033029204,"Census Tract 292.04, King County, Washington",67423,87001
1400000US53033029205,"Census Tract 292.05, King County, Washington",68186,74528
1400000US53033029206,"Census Tract 292.06, King County, Washington",32554,42971
1400000US53033029303,"Census Tract 293.03, King County, Washington",65799,80504
1400000US53033029304,"Census Tract 293.04, King County, Washington",92531,125301
1400000US53033029305,"Census Tract 293.05, King County, Washington",107153,115071
1400000US53033029306,"Census Tract 293.06, King County, Washington",95300,106125
1400000US53033029307,"Census Tract 293.07, King County, Washington",102566,115754
1400000US53033029403,"Census Tract 294.03, King County, Washington",79158,89597
1400000US53033029405,"Census Tract 294.05, King County, Washington",84271,101650
1400000US53033029406,"Census Tract 294.06, King County, Washington",98889,105856
1400000US53033029407,"Census Tract 294.07, King County, Washington",53056,64021
1400000US53033029408,"Census Tract 294.08, King County, Washington",50817,65702
1400000US53033029502,"Census Tract 295.02, King County, Washington",96917,103142
1400000US53033029503,"Census Tract 295.03, King County, Washington",45804,58849
1400000US53033029504,"Census Tract 295.04, King County, Washington",46697,59616
1400000US53033029601,"Census Tract 296.01, King County, Washington",73610,83137
1400000US53033029602,"Census Tract 296.02, King County, Washington",119423,130386
1400000US53033029700,"Census Tract 297, King County, Washington",51362,71906
1400000US53033029801,"Census Tract 298.01, King County, Washington",68762,103224
1400000US53033029802,"Census Tract 298.02, King County, Washington",90133,104550
1400000US53033029901,"Census Tract 299.01, King County, Washington",83264,92875
1400000US53033029902,"Census Tract 299.02, King County, Washington",92632,112131
1400000US53033030003,"Census Tract 300.03, King County, Washington",68449,76771
1400000US53033030004,"Census Tract 300.04, King County, Washington",51689,76184
1400000US53033030005,"Census Tract 300.05, King County, Washington",62036,70978
1400000US53033030006,"Census Tract 300.06, King County, Washington",46488,61277
1400000US53033030100,"Census Tract 301, King County, Washington",97372,117615
1400000US53033030201,"Census Tract 302.01, King County, Washington",66250,76984
1400000US53033030202,"Census Tract 302.02, King County, Washington",65302,78926
1400000US53033030304,"Census Tract 303.04, King County, Washington",81054,98143
1400000US53033030305,"Census Tract 303.05, King County, Washington",65483,86367
1400000US53033030306,"Census Tract 303.06, King County, Washington",89736,106569
1400000US53033030308,"Census Tract 303.08, King County, Washington",70550,82430
1400000US53033030309,"Census Tract 303.09, King County, Washington",63158,87608
1400000US53033030310,"Census Tract 303.10, King County, Washington",83611,99186
1400000US53033030311,"Census Tract 303.11, King County, Washington",83442,93986
1400000US53033030312,"Census Tract 303.12, King County, Washington",63897,76220
